,betweenness,pagerank,clustering,closeness,raw_degree,is_high_risk,risk_score
MTMR4,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
MTMR3,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
PKD1L3,0.0,9.367082172871192e-05,0.0,0.00015316867700555236,1,0,0.0
MAP1S,0.0,3.858644708983574e-05,0.0,0.1270123247071246,1,0,0.0
RASSF1,0.00028530927912809756,7.494521272192269e-05,0.0,0.15018043332541753,3,0,0.0
ZNF335,0.0,2.7445401044611713e-05,0.0,0.11153713288249734,1,0,0.0
HNRNPM,9.535845588235295e-05,6.154263520400616e-05,0.0,0.14664862081793867,2,0,0.0
HNRNPH2,0.0,4.364444151992838e-05,0.0,0.12447695598367624,1,0,0.0
CPSF4L,0.0,2.970501700999885e-05,0.0,0.11973223367680287,1,0,0.0
FBN1,0.00012876430304175696,0.00013856758623487025,0.26666666666666666,0.16719347620730668,6,0,0.03
FBLN2,1.2148141332350423e-05,0.00010171625170272939,0.5,0.16821853031317444,5,0,0.0
ADAMTS10,0.0,3.700356054907376e-05,0.0,0.1389720934089333,1,0,0.0
CNDP2,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
CARNS1,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
CNDP1,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
PTPRCAP,0.0,3.398336788702094e-05,0.0,0.14058835607775028,1,0,0.0
RUFY1,0.0,4.4100281198298046e-05,0.0,0.11399643311862102,1,0,0.0
NR2F1,0.0,2.2459990175265663e-05,0.0,0.14035420939858198,1,0,0.0
PRX,9.535845588235295e-05,0.00010714439294781767,0.5,0.15836051169156268,4,0,0.0
PPL,0.0001907169117647059,0.0001417138696282802,0.3,0.15836476298046714,5,0,0.0
AHNAK,9.671229885991908e-05,0.0001454668954123422,0.3333333333333333,0.16864654281204153,7,0,0.02
DRP2,0.0,3.999336915946107e-05,0.0,0.13281446823267293,1,0,0.0
COX14,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
COA3,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
DHRS4,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
DHRS3,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
DHRS9,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
SLC25A20,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
SLC25A29,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
ATG16L2,0.0,5.247688652509905e-05,1.0,0.15129356572086894,3,0,0.0
CKAP5,0.0,3.83015857907213e-05,0.0,0.13293119005391085,1,0,0.0
YTHDC1,6.661510637444198e-06,6.495447445330019e-05,0.0,0.13891645875479575,3,0,0.0
HPS1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
HPS4,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
FBXO6,1.88936096895278e-07,3.8037813955040144e-05,0.0,0.15829676973709012,2,0,0.0
FBXO11,0.0,2.659160729080454e-05,0.0,0.15822883485388126,1,0,0.0
NCBP2L,0.0,3.951823674150886e-05,1.0,0.15413988192162215,3,0,0.0
LIMS2,0.0,4.096399753691397e-05,1.0,0.14824807551825495,2,0,0.0
FTSJ1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
WDR6,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
NFE2L2,0.00020090601124079938,0.0001235182258288653,0.1,0.16136683592806852,5,0,0.0
FMOD,0.0,3.26980003527491e-05,0.0,0.14677998061762632,1,0,0.0
HBG1,0.0,3.20210022933043e-05,0.0,0.127962850781397,1,0,0.0
BMP8A,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
BMP8B,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
MCU,0.0,9.362623270566215e-05,1.0,0.0005628948879954049,4,0,0.0
STAC2,0.0,2.746705296912238e-05,0.0,0.13753030613439024,1,0,0.0
VIPAS39,0.0,3.396347090660421e-05,0.0,0.10699545509163856,1,0,0.0
IZUMO1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
IZUMO1R,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
XPOT,0.0,2.7236115973793264e-05,0.0,0.14563849946975438,1,0,0.0
TGIF2,0.0,4.594507131490051e-05,0.0,0.1340397050902613,1,0,0.0
PAWR,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
SPSB1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
TNFRSF18,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
TNFSF18,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
CDCA2,0.0,3.048887486879928e-05,0.0,0.13721041613803178,1,0,0.0
RNF123,0.001741498161764706,9.873844335090737e-05,0.0,0.12822151892152067,2,0,0.01
UBAC1,0.0,6.148150651471831e-05,0.0,0.1109434932111337,1,0,0.0
USP19,0.0018363970588235294,7.503106009705775e-05,0.0,0.15186611628623214,2,0,0.0
RNF135,0.0,2.9462780231693425e-05,0.0,0.15499848711270398,1,0,0.0
DEFA3,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
DEFA1,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
DEFA1B,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
