Drug_name,Promiscuity_index
riociguat,2
rimantadine,2
alizapride,2
diethylcarbamazine,2
rocuronium,2
rivastigmine,2
rivaroxaban,2
ritodrine,2
eptinezumab,2
dimethyltubocurarinium,2
dimethyl fumarate,2
alimemazine,2
alfentanil,2
metipranolol,2
minoxidil,2
minodronic acid,2
minaprine,2
miltefosine,2
nepafenac,2
neostigmine,2
nemonapride,2
mycophenolate mofetil,2
enoximone,2
enfortumab vedotin,2
rufinamide,2
diquafosol,2
diprophylline,2
diphenoxylate,2
diphemanil,2
dioxyline,2
mofezolac,2
mivacurium,2
adinazolam,2
allopurinol,2
droxidopa,2
zotarolimus,2
zaleplon,2
vitamin e,2
acetylmethadol,2
abatacept,2
acamprosate,2
acebutolol,2
naldemedine,2
nabilone,2
alfacalcidol,2
alexidine,2
alendronic acid,2
saralasin,2
sapropterin,2
salbutamol,2
caramiphen,2
phenazone,2
inebilizumab,2
ticagrelor,2
tiaprofenic acid,2
cangrelor,2
canagliflozin,2
nedocromil,2
nateglinide,2
natalizumab,2
nandrolone phenpropionate,2
adenine,2
acrivastine,2
edatrexate,2
dydrogesterone,2
dyclonine,2
flutemetamol (18f),1
ziconotide,1
zanubrutinib,1
zalcitabine,1
vorozole,1
acefylline,1
alacepril,1
albiglutide,1
alcaftadine,1
alclometasone dipropionate,1
aldesleukin,1
aldesulfone,1
acipimox,1
vindesine,1
vinflunine,1
vitamin a palmitate,1
voclosporin,1
volanesorsen,1
vonoprazan,1
vorapaxar,1
velnacrine,1
alemtuzumab,1
mirabegron,1
nifuroxazide,1
nilutamide,1
niperotidine,1
nitazoxanide,1
nitisinone,1
mitiglinide,1
mitomycin,1
moexipril,1
mogamulizumab,1
molsidomine,1
moracizine,1
mosapramine,1
moxastine,1
moxestrol,1
moxetumomab pasudotox,1
methylphenobarbital,1
methylprednisolone acetate,1
methylprednisolone succinate,1
methyprylon,1
metildigoxin,1
nitric oxide,1
nitrofurazone,1
nivolumab,1
norelgestromin,1
norethynodrel,1
metirosine,1
metizoline,1
metochalcone,1
metreleptin,1
methylclothiazide,1
mifamurtide,1
meldonium,1
novobiocin,1
obidoxime,1
obinutuzumab,1
ocrelizumab,1
octanoic acid,1
odesivimab,1
ofatumumab,1
nitrazepam,1
methanthelinium,1
metharbital,1
methdilazine,1
methocarbamol,1
methoxy polyethylene glycol-epoetin beta,1
methsuximide,1
methyldopate,1
mephenytoin,1
mepolizumab,1
meprednisone,1
meproscillarin,1
meprylcaine,1
olaratumab,1
olmesartan medoxomil,1
olopatadine,1
olprinone,1
omalizumab,1
omidenepag isopropyl,1
mequinol,1
mesterolone,1
metacycline,1
metamizole,1
metaraminol,1
lysine,1
macimorelin,1
malathion,1
manidipine,1
maxacalcitol,1
opicapone,1
oprelvekin,1
orciprenaline,1
ornithine,1
ospemifene,1
oteracil,1
oxametacin,1
medrysone,1
meglutol,1
lutropin alfa,1
mephentermine,1
lonazolac,1
loncastuximab tesirine,1
lorazepam,1
loteprednol etabonate,1
oxazepam,1
oxcarbazepine,1
oxetacaine,1
loxiglumide,1
lubiprostone,1
lucanthone,1
lumacaftor,1
lumasiran,1
lumefantrine,1
lusutrombopag,1
lutetium (177lu) oxodotreotide,1
lypressin,1
levosalbutamol,1
limaprost,1
linaclotide,1
levamlodipine,1
ozagrel,1
palifermin,1
pamidronic acid,1
oxandrolone,1
lipegfilgrastim,1
liraglutide,1
lisinopril,1
lixisenatide,1
lodoxamide,1
levomepromazine,1
lomerizine,1
lomitapide,1
lepirudin,1
lercanidipine,1
